event_id,event_name,club_name,category,date,start_time,end_time,address,description
56065,French Club Movie Night ,Sir Wilfrid Laurier French Club,Other,31 March,"Tue, 31 Mar 2026 6:00 PM","Tue, 31 Mar 2026 8:05 PM","75 University Avenue West, Waterloo, ON, Canada","French Club Movie Night is an opportunity for students to engage with French language and culture through film. The event will feature a French-language movie with English subtitles, allowing both French learners and non-speakers to enjoy and understand the film. This event is designed to provide cultural exposure beyond the classroom in a relaxed and welcoming environment. Attendees will gain insight into French society, traditions, humor, and perspectives through authentic media. Watching a film in its original language also supports listening skills and cultural awareness in an engaging, low-pressure setting. In addition to the educational value, the event offers a chance for students to connect with peers who share an interest in French language and culture. French Club Movie Night combines cultural enrichment with social engagement, making it a meaningful and enjoyable experience for all participants."
55181,Soco Hoco | Winter Social 2026,Laurier BSA,Other,31 March,"Tue, 31 Mar 2026 6:30 PM","Tue, 31 Mar 2026 8:30 PM","Senate and Board Chamber, Wilfrid Laurier University","We are excited to host a Social/Networking event to connect with other students from all backgrounds with networking opportunities and fun activities.Dress Code: Semi-Formal/Casual-FormalInterested to participate in Open Mic and win prizes? Fill out this form and we will reach out to you!This event will be themed to be an elevated semi-formal space and include light games, open-mic talent show, food (appetizers, desserts and drinks), and giveaway baskets. Event Itinerary:🕕 Arrival & Welcome Check-in Light snacks available Casual mingling 🍽️ Food & Refreshments Appetizers Desserts Drinks 🧩 Networking Opportunity to make new connections 🍪 Fun Group Games🎤 Open Mic Talent Show Students can sign up in advance for showcasing talent e.g. singing, comedy, etc. Best voted performers win prizes 🌸 Cultural Showcase & External Vendor Booths Opportunity to showcase small businesses or promote clubs / culture 🧺 Raffle Prizes All event attendees will receive a raffle ticket as part of their entry ticket Opportunity to win gift baskets and prizes"
57325,CP164 Final Review Session,Laurier Computing Society (LCS) (Waterloo),Class/Workshop,31 March,"Tue, 31 Mar 2026 7:30 PM","Tue, 31 Mar 2026 9:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","An interactive final review session for computer science students taking the essential second year course, Data Structures (CP164). It offers a unique opportunity to review key concepts and engage with the material in a lively and interactive format. Participants can look forward to refreshing their knowledge!"
54666,Biology Family Feud,Laurier Biology Association (Waterloo),Quiz/Trivia,31 March,"Tue, 31 Mar 2026 8:00 PM","Tue, 31 Mar 2026 9:00 PM","Wilf's, University Avenue West, Waterloo, ON, Canada","Biology Family Feud is a fun game-show style event where teams compete against each other to answer biology-related questions and surveys. While playing, everyone can enjoy free food, bring friends, and see which team knows their biology best."
51819,General Meetings,Laurier Investment and Finance Association (LIFA) (Waterloo),Industry/Career,31 March,"Tue, 31 Mar 2026 9:00 PM","Tue, 31 Mar 2026 10:00 PM","Lazaridis School of Business and Economics, University Avenue West, Waterloo, ON, Canada","Our General Meetings are the cornerstone to our programming activities and is open to any Laurier student looking to get introduced, involved or connected into the finance and related industries. Weekly lessons are taught by some of Laurier's brightest and are designed to give LIFA members a strong understanding of businesses through a financial lens. The goal of our General Meeting sessions is to create a strong ecosystem of students working towards careers in finance."
56311,Mystery Improv Night,LMT,Other,31 March,"Tue, 31 Mar 2026 10:00 PM","Tue, 31 Mar 2026 11:59 PM",Online Event,"When you arrive, you’ll be given a character. From that moment on, you stay in character all night. You are all part of a play rehearsal. Or at least… you think you are. Commit fully. Trust your instincts. Something unexpected is coming."
55397,Stem Cell Drive,Get Swabbed At Laurier (Waterloo),Other,1 April,"Wed, 1 Apr 2026 8:00 AM","Wed, 1 Apr 2026 4:30 PM","Dr Alvin Woods Building (DAWB), Waterloo, ON, Canada",Do you want to help potentially save a life? Come to the concourse and participate in Get Swabbed's stem cell drive! It only takes 5 minutes.
53275,The Data Minds Challenge 26 (Presentations),Laurier Analytics Society (LAS) (Waterloo),Other,1 April,"Wed, 1 Apr 2026 8:00 AM","Wed, 1 Apr 2026 5:00 PM","Waterloo, ON, Canada","The Data Minds Challenge is a five-day hybrid datathon and tech conference hosted by the Laurier Analytics Society. The event brings together students to collaborate on real-world data and technology challenges through mentorship, skill-building sessions, and structured networking opportunities.The program includes a live kickoff day on campus, several days of remote mentored work, and a final in-person showcase where teams present their solutions. Designed to bridge academic learning with industry application, the event provides students with hands-on experience in problem-solving, teamwork, and professional communication."
49096,Breakfast on AUS,AUS,Other,1 April,"Wed, 1 Apr 2026 9:00 AM","Wed, 1 Apr 2026 12:00 PM","75 University Ave W, Waterloo, ON N2L 3C5, Canada",Breakfast on AUS
56073,Dough for a Difference,WLU Global Brigades,Other,1 April,"Wed, 1 Apr 2026 11:00 AM","Wed, 1 Apr 2026 3:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Dough for a Difference is a fundraising initiative hosted by WLU Global Brigades in partnership with Maverick’s Donuts. Pre-packaged donuts will be sold on campus to raise funds in support of our global health initiatives and upcoming brigade programming. The goal of this event is to increase awareness of Global Brigades while generating financial support for sustainable healthcare and public health efforts in partner communities. This initiative offers students an accessible way to support global health advocacy through a simple, community-driven fundraiser."
57453,How To Survive Finals,Kin Kouncil (Waterloo),Other,1 April,"Wed, 1 Apr 2026 12:30 PM","Wed, 1 Apr 2026 3:30 PM","Science Building, Waterloo, ON, Canada","Kin Kouncil will host a pop-up booth in the Science Atrium during finals season, where students can take a quick break from studying, grab a snack or drink, and pick up a Finals Survival tip sheet with study tips and wellness reminders. Kin Kouncil executives will be present to chat with students, share advice, and help create a supportive space during a stressful time of the term."
