event_id,event_name,club_name,product_type,tags,variants,price,available,description,image_url
15514593853513,BU121 SOS Final Review Session April 6th 7:30-10:30pm,Lazaridis Students' Society,Event Ticket,event ticket,,CAD 15.00,True,Fill out this form AFTER you buy your ticket:https://docs.google.com/forms/d/e/1FAIpQLSdMNWLLeoXf3nJi_ZH47OFifxhqMdgq2hGma27TYNS-0hrcJw/viewform?usp=header,https://cdn.shopify.com/s/files/1/1367/1309/files/image_720.png?v=1774738661
15514593820745,BU121 SOS Final Review Session April 7th 7:30-10:30pm,Lazaridis Students' Society,Event Ticket,event ticket,,CAD 15.00,True,Fill out this form AFTER you buy your ticket:https://docs.google.com/forms/d/e/1FAIpQLSdMNWLLeoXf3nJi_ZH47OFifxhqMdgq2hGma27TYNS-0hrcJw/viewform?usp=header,https://cdn.shopify.com/s/files/1/1367/1309/files/image_720_5693a092-9e10-465c-af99-5fa34c67454e.png?v=1774744765
15498180395081,Climb For Climate Ticket,Lazaridis Students' Society,Event Ticket,event ticket,Individual Tickets,CAD 11.00,True,"Sustainability in Business Laurier for Climb for Climate, is an exciting evening of indoor rock climbing at Grand River Rocks that brings together students who care about sustainability, community, and climate action. Date: March 26th 2025.",https://cdn.shopify.com/s/files/1/1367/1309/files/MainLogoIcon_WhiteBG_-SustainabilityinBusinessLaurierPresidents.png?v=1767982674
